latitude,longitude
-34.6047248206375,-58.3991847594198
-34.6047014561903,-58.4050624139823
-34.6047005339289,-58.3800535675261
-34.6046868334341,-58.4052395679106
-34.6046049275557,-58.3796965993585
-34.6045438166355,-58.3997098739406
-34.6045348997893,-58.3929000486622
-34.6045299718815,-58.3925234426581
-34.6045290714614,-58.3920549808092
-34.6045269269493,-58.3992018557426
-34.604511981778,-58.4050332243463
-34.6044994110121,-58.4052087195597
-34.6044702628959,-58.3804639967558
-34.6044649434772,-58.3808331802735
-34.6044531470753,-58.3704110959096
-34.6044002491876,-58.3800961910319
-34.6043755082435,-58.3808404793487
-34.6043682500182,-58.4055197713612
-34.6043573285865,-58.3925142906598
-34.6043523143446,-58.392879484858
-34.60424533579,-58.3924262892298
-34.6042384855924,-58.3693727670477
-34.6041985798514,-58.3804653321873
-34.6041956306935,-58.4120397794496
-34.6041766434504,-58.3921888551208
-34.604169687116,-58.4052371934884
-34.6041661575529,-58.4114616258089
-34.604153476957,-58.3873083123235
-34.6041224814524,-58.3869298258085
-34.6039988624057,-58.4120411874192
-34.6039739130467,-58.4114576783662
-34.6039539622429,-58.3872990595833
-34.6039392216724,-58.3808519244973
-34.6039229467794,-58.386991389685
-34.603919585415,-58.370438308798
-34.6038839232256,-58.4054057644512
-34.603881089018,-58.386340589827
-34.6038417980938,-58.38086168317
-34.603746205902,-58.3867199383647
-34.6036782701799,-58.4053520242245
-34.6036274262913,-58.3699512032779
-34.6035504029818,-58.4050865477138
-34.6035012444988,-58.4053121101366
-34.6034442794286,-58.3808886461264
-34.6034189715866,-58.4211648277391
-34.603402107237,-58.3748641626646
-34.6032934306801,-58.4207091968856
-34.603207053335,-58.3748800214455
-34.6031725396929,-58.3744251824366
-34.6031675749927,-58.3700077836111
-34.6031179038999,-58.3706252002112
-34.6031039757354,-58.4206908534589
-34.603049961945,-58.3696187298653
-34.6030402162047,-58.4213250622358
-34.6029272357369,-58.3706379704299
-34.6028685631829,-58.3696482155039
-34.6027616739694,-58.370058297045
-34.6026737842941,-58.3781707434237
-34.6023944587686,-58.3843723055347
-34.6022780418942,-58.430872905104
-34.6022349039954,-58.4313716016163
-34.6021056176248,-58.3840678491549
-34.6020880875401,-58.4308490105143
-34.6020469895814,-58.4313505466811
-34.6020197323675,-58.3853280778096
-34.6016909782718,-58.3780847710273
-34.6013932778237,-58.3850613491366
-34.6012096924057,-58.3853552650589
-34.6012012898235,-58.3851195623502
-34.599845945034,-58.3980802174952
-34.5998417419274,-58.3981821955257
-34.5998403943766,-58.3976293530614
-34.5998356106078,-58.393012176477
-34.5998159296946,-58.3926680676133
-34.5997538117549,-58.3918047930125
-34.599683530288,-58.3918174998715
-34.5996449468336,-58.3981035362633
-34.5996319359047,-58.3978367172056
-34.5995551345576,-58.3974904547774
-34.5995514105554,-58.3931839077183
-34.5994514222865,-58.3928292285708
-34.59917207807,-58.4397207917261
-34.599044990342,-58.4395282200254
-34.5989183790763,-58.4399890001225
-34.5987620907231,-58.4034631264094
-34.5987326431427,-58.4039666149165
-34.5987069869328,-58.4398795085657
-34.5969012288486,-58.3722309402092
-34.5965449810427,-58.3717269832618
-34.5964422556071,-58.3717794203935
-34.5962415076608,-58.3725076979358
-34.5955320216005,-58.3775385648518
-34.5954841415085,-58.3774905974029
-34.5952234173066,-58.4028219030811
-34.5951459110195,-58.3778900463266
-34.5950964218447,-58.402773932668
-34.5944680479434,-58.4026575399618
-34.5943944130817,-58.4020261890136
-34.5942718005731,-58.4025996493511
-34.5927703141959,-58.3759028850134
-34.5923638227662,-58.3752402017106
-34.592273401481,-58.3756331513133
-34.5922200718516,-58.3767688355559
-34.5919666169765,-58.3761025634314
-34.5919625292156,-58.4474883532395
-34.5919597934683,-58.4069805497395
-34.5918208771177,-58.4473122888995
-34.5917979671415,-58.40683166257
-34.5916871243737,-58.376536113076
-34.5916030289749,-58.4073631192015
-34.5915925544362,-58.4479136346468
-34.5914394865517,-58.447711323689
-34.5914367326655,-58.4072064964015
-34.5913865794963,-58.3738287200189
-34.5913341213586,-58.373592521229
-34.5907903524054,-58.3749115512536
-34.5906712082124,-58.375115896049
-34.5903745008313,-58.3738429262569
-34.5885675150876,-58.4109887714674
-34.5882467588719,-58.4114660373987
-34.5881220607065,-58.4108701856101
-34.5880933931455,-58.4113153197248
-34.5878038772456,-58.3972499423143
-34.5877663727069,-58.4545309214923
-34.5876880967014,-58.4547439521731
-34.587591893871,-58.4551161196469
-34.5873649513061,-58.4545621980588
-34.5872304385524,-58.4549796033714
-34.5870613856921,-58.4556645554767
-34.5869996256155,-58.4548095850474
-34.5867982838458,-58.4551830835685
-34.58653176104,-58.455431092426
-34.5863710172126,-58.4553213556232
-34.5853559602569,-58.4158345444851
-34.5852172656747,-58.4156549019763
-34.5852110342615,-58.4162387955436
-34.5849933355491,-58.4159890964988
-34.5843130635055,-58.4665418164603
-34.5841501279395,-58.4665659991834
-34.5839601088473,-58.4663703653828
-34.5839467041908,-58.4664225312575
-34.5830355912055,-58.391020964631
-34.5823129813471,-58.4203066667055
-34.5822433125852,-58.4204184791757
-34.5821159305679,-58.473496260523
-34.5818917463499,-58.4735499653176
-34.5818657960186,-58.4201396687731
-34.5815502798328,-58.4738938867394
-34.5813907426656,-58.4740433050146
-34.5813618056282,-58.4216861120757
-34.5811730255418,-58.421418203322
-34.5811281796147,-58.4214856326109
-34.578464777189,-58.426004712839
-34.5783164864001,-58.4264205446066
-34.5782076558521,-58.4258330284275
-34.578179981441,-58.480620470907
-34.5780220330706,-58.4804613500113
-34.5780165511151,-58.4808709525874
-34.5778380209514,-58.4811305511093
-34.5776965218431,-58.4809520220887
-34.5755772364387,-58.434449056736
-34.5754651076776,-58.4340276953797
-34.5754239993773,-58.4348064426545
-34.5753357995399,-58.4342810462991
-34.5752644927656,-58.4344646903156
-34.5752041466816,-58.4345955217616
-34.5746229540941,-58.4870778953036
-34.5745152588744,-58.4863846521318
-34.574451313805,-58.4867988797716
-34.5741279584927,-58.4878260318704
-34.5739610890554,-58.4875331813736
-34.573937985864,-58.4879708626428
-34.5738036323636,-58.4877349772052
-34.5704510587263,-58.4441691603457
-34.5701818943593,-58.4447000001069
